name,group,muscle
Push Press,Upper Body,Shoulder
Pull Up,Upper Body,Upper Back
Dip,Upper Body,Chest
Lat Pulldown,Upper Body,Upper Back
Neutral-Grip Lat Pulldown,Upper Body,Upper Back
Close-Grip Lat Pulldown,Upper Body,Upper Back
Close-Grip Inverted Lat Pulldown,Upper Body,Upper Back
Behind-The-Neck Lat Pulldown,Upper Body,Upper Back
Cable Row,Upper Body,Upper Back
Bench Press,Upper Body,Chest
Front Raise,Upper Body,Shoulder
Side Delt Exercise,Upper Body,Shoulder
Dumbel Curl,Upper Body,Bicep
Cable Tricep Pulldown,Upper Body,Tricep
Seated Palmdown Wrist Curl,Upper Body,Forearm
Back Extension,Upper Body,Lower Back
Ab Leg Raises,Upper Body,Abs
Knee To Elbow,Upper Body,Abs
Box Jumps,Lower Body,Quadriceps 
Goblet Squat,Lower Body,Quadriceps 
Hip Abductor,Lower Body,Abductor
Bulgarian Split,Lower Body,Quadriceps 
Hip Adduction,Lower Body,Adductor
Hip Thrust,Lower Body,Glutes
Kettlebell Swing,Lower Body,Glutes
Knee To Elbow,Lower Body,Abs
Back Extension,Lower Body,Lower Back
Calf Raise,Lower Body,Calves
Romanian Deadlift,Lower Body,Hamstrings
Ab Leg Raises,Lower Body,Abs
Glute Bridges,Warm Up,Glutes
Push Up,Warm Up,Chest
Squat,Warm Up,Quadriceps 
Sprint,Warm Up,Overall
Back Extension Original,Warm Up,Lower Back
Ab Crunches,Warm Up,Abs
Bjj Type Of Stretching,Warm Up,Stretching
BJJ Session,BJJ Session, Stretching
